id_aluno;nome_aluno;id_curso
A01;Ana Beatriz Souza;C1
A02;Bruno Costa Lima;C1
A03;Carla Mendes Rocha;C1
A04;Daniel Alves Pereira;C1
A05;Eduarda Santos Ferreira;C1
A06;Felipe Oliveira Martins;C1
A07;Gabriela Ribeiro Dias;C1
A08;Henrique Barbosa Nunes;C2
A09;Isabela Carvalho Gomes;C2
A10;João Pedro Almeida;C2
A11;Karina Fernandes Rezende;C2
A12;Lucas Teixeira Moraes;C2
A13;Mariana Cardoso Pinto;C2
A14;Natália Ramos Cavalcanti;C2
A15;Otávio Correia Batista;C2
A16;Patrícia Lopes Azevedo;C3
A17;Rafael Duarte Monteiro;C3
A18;Sabrina Nogueira Vieira;C3
A19;Thiago Machado Freitas;C3
A20;Valentina Pires Campos;C3
A21;Wesley Guimarães Tavares;C3
A22;Yasmin Castro Andrade;C3
A23;Alexandre Borges Siqueira;C4
A24;Bianca Farias Xavier;C4
A25;Caio Henrique Prado;C4
A26;Débora Lins Cunha;C4
A27;Enzo Gabriel Moura;C4
A28;Fernanda Brito Junqueira;C4
A29;Gustavo Peixoto Rocha;C4
A30;Helena Marques Sales;C4
